sub symbol ai artifici neural network connection search techniqu search|45,0.0011462450592885376
prefer|45,0.0003952569169960474
possibl|45,0.0003952569169960474
politician|45,0.0003952569169960474
poet|45,0.0003952569169960474
plan|45,0.0007905138339920949;45,0.0005563282336578582
place|45,0.0003952569169960474;45,0.0002781641168289291
pitch|45,0.0003952569169960474
pilot|45,0.0003952569169960474
pick|45,0.0003952569169960474;45,0.0002781641168289291
philosoph|45,0.0003952569169960474
perform|45,0.0003952569169960474;46,0.0006259127894846651
perfect|45,0.0003952569169960474
part|45,0.0003952569169960474;45,0.0008344923504867872;46,0.0005140066820868671
painter|45,0.0003952569169960474
origin|45,0.0003952569169960474;46,0.0025036511579386604
order|45,0.0007905138339920949;45,0.0005563282336578582
novelist|45,0.0003952569169960474
notic|45,0.0003952569169960474
note|45,0.0003952569169960474;45,0.0008344923504867872
non|45,0.0003952569169960474;46,0.00041727519298977677
nearest|45,0.0003952569169960474
name|45,0.0003952569169960474;46,0.00041727519298977677
nakuru|45,0.0003952569169960474
na|45,0.0003952569169960474
musician|45,0.0003952569169960474
music|45,0.0003952569169960474
motiv|45,0.0007905138339920949
mood|45,0.0003952569169960474
met|45,0.0003952569169960474
member|45,0.0003952569169960474
meet|45,0.0003952569169960474
measur|45,0.0003952569169960474;46,0.00025700334104343357
mean|45,0.0003952569169960474;45,0.0002781641168289291;46,0.00025700334104343357
mathematician|45,0.0003952569169960474
map|45,0.0003952569169960474;46,0.00020863759649488838
look|45,0.0003952569169960474;45,0.0002781641168289291
locat|45,0.0003952569169960474;46,0.00041727519298977677
like|45,0.0003952569169960474
letter|45,0.0003952569169960474
least|45,0.0003952569169960474
lead|45,0.0003952569169960474;45,0.0002781641168289291
kind|45,0.0003952569169960474
kericho|45,0.0003952569169960474
kenya|45,0.0003952569169960474
kakamega|45,0.0003952569169960474
journalist|45,0.0003952569169960474
ix|45,0.0003952569169960474
issu|45,0.0003952569169960474
intra|45,0.0003952569169960474
interpret|45,0.0003952569169960474
intent|45,0.0003952569169960474
instanc|45,0.0003952569169960474
inferenc|45,0.0003952569169960474;45,0.0008344923504867872
imag|45,0.0003952569169960474;46,0.006682086867129272
ida|45,0.0003952569169960474
hypothet|45,0.0003952569169960474
holiday|45,0.0003952569169960474
henc|45,0.0003952569169960474
grasp|45,0.0003952569169960474
graphic|45,0.0003952569169960474;46,0.003341043433564636
gener|45,0.0011857707509881424;45,0.0005563282336578582;46,0.0005140066820868671;46,0.00041727519298977677
front|45,0.0003952569169960474
form|45,0.0003952569169960474
flexibl|45,0.0003952569169960474
figur|45,0.0011857707509881424;46,0.0005140066820868671;46,0.0008345503859795535
featur|45,0.0003952569169960474
far|45,0.0003952569169960474
fact|45,0.0007905138339920949;45,0.0013908205841446453
explor|45,0.0003952569169960474
exp|45,0.0003952569169960474
exhaust|45,0.0003952569169960474
except|45,0.0003952569169960474
evid|45,0.0007905138339920949;45,0.0036161335187760778
ever|45,0.0003952569169960474
evalu|45,0.0003952569169960474
estim|45,0.0011857707509881424;45,0.0002781641168289291
encount|45,0.0003952569169960474
effici|45,0.0003952569169960474;46,0.0008345503859795535
drive|45,0.0003952569169960474
dnna|45,0.0003952569169960474
dnan|45,0.0003952569169960474
dn|45,0.0003952569169960474
distinguish|45,0.0003952569169960474
disciplin|45,0.0003952569169960474
develop|45,0.0003952569169960474;45,0.0005563282336578582;46,0.00020863759649488838
determin|45,0.0003952569169960474
detect|45,0.0003952569169960474
de|45,0.0003952569169960474
demonstr|45,0.0003952569169960474
degre|45,0.0003952569169960474
dancer|45,0.0003952569169960474
current|45,0.0003952569169960474
creat|45,0.0003952569169960474;46,0.0005140066820868671;46,0.00041727519298977677
contain|45,0.0003952569169960474;46,0.0005140066820868671
conductor|45,0.0003952569169960474
concept|45,0.0003952569169960474;46,0.0012850167052171678;46,0.0006259127894846651
comput|45,0.0003952569169960474;46,0.00025700334104343357
compos|45,0.0003952569169960474;45,0.0002781641168289291;46,0.00020863759649488838
collect|45,0.0003952569169960474
cloud|45,0.0003952569169960474
close|45,0.0007905138339920949
choos|45,0.0003952569169960474;46,0.00025700334104343357
check|45,0.0007905138339920949
characterist|45,0.0015810276679841897;45,0.0002781641168289291
carri|45,0.0003952569169960474;46,0.00020863759649488838
calcul|45,0.0003952569169960474;45,0.0002781641168289291;46,0.0012850167052171678;46,0.00020863759649488838
breadth|45,0.0023715415019762848;45,0.0002781641168289291
bold|45,0.0003952569169960474
believ|45,0.0003952569169960474
athlet|45,0.0003952569169960474
associ|45,0.0003952569169960474
art|45,0.0003952569169960474
arc|45,0.0003952569169960474
architect|45,0.0003952569169960474
appreci|45,0.0003952569169960474;46,0.00025700334104343357
add|45,0.0003952569169960474;46,0.00020863759649488838
adapt|45,0.0003952569169960474
accomplish|45,0.0007905138339920949
0|45,0.0003952569169960474;45,0.003337969401947149;46,0.012850167052171678;46,0.008345503859795536
*:|45,0.0003952569169960474
h p h e p h p h e p 6 1 12 6 12 1 3 1 4 1 3 1 4 2 3 1 4 3 3 1 4 1|45,0.008814325452016688
fuzzi logic 3 1 12 6 6 1 3 1 4 1 3 1 4 2 3 1 4 3 3 1 4 2|45,0.007637923041261009
2 1 12 6 4 1 3 1 4 1 3 1 4 2 3 1 4 3 3 1 4 3|45,0.008433430269313438
4 3 4 2 2 1 4 1 ú û ù ê ë é ´ ´ å|45,0.004974228912705556
h p h e p h p h e p 1 1 1|45,0.010762811597303948
÷ ø ö ç è æ ´ ÷ ø ö ç è æ ´|45,0.003814822173653885
h p h e p h p h e p 1|45,0.010241497028701481
h p h e p h p h e p p|45,0.009912757617903655
ú û ù ê ë é ´ ´ å|45,0.0023180343069077423
÷ ø ö ç è æ ´|45,0.0038148221736538845
1 3 3|45,0.009735744089012519
known fact · use rule 1 infer engin conclud|45,0.0073868026580126735
1 2 2|45,0.008252202132591561
3 1 ·|45,0.015577190542420028
e v f ® g establish whether g|45,0.005250347705146036
rule action infer new data valu iv ).|45,0.0035813630041724616
b ù c ® f iv ).|45,0.006079872839260878
corrobor evid must mak e us|45,0.004357904496986555
h 3|45,0.006815020862308762
· use rule 4|45,0.009874826147426982
rule 4 fire ·|45,0.009527121001390821
